ticker,isin_code,figi_code,company_name,notification_date,effective_date,reason,alert_code,alert_language,etldatetime
TDH,VN000000TDH3,BBG000QGMH85,Công ty Cổ phần Phát triển Nhà Thủ Đức,10/21/2021,10/21/2021,Công ty tiếp tục vi phạm các quy định về công bố thông tin trên thị trường chứng khoán sau khi đã bị đưa vào diện cảnh báo do vi phạm công bố thông tin.,SD,VN,2023-06-01 09:20:39
TGG,VN000000TGG8,BBG00KXBGZ72,Công ty Cổ phần The Golden Group,05/25/2023,05/25/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
AGM,VN000000AGM6,BBG003NWY9K8,Công ty Cổ phần Xuất Nhập Khẩu An Giang,05/23/2023,05/23/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
HBC,VN000000HBC3,BBG000QMWDZ0,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,05/23/2023,05/23/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
HPX,VN000000HPX9,BBG00LC37SN9,Công ty Cổ phần Đầu tư Hải Phát,05/23/2023,05/23/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
IBC,VN000000IBC1,BBG00F0Z7590,Công ty Cổ phần Đầu tư Apax Holdings,05/23/2023,05/23/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
TTB,VN000000TTB2,BBG007YXYQQ1,Công ty Cổ phần Tập đoàn Tiến Bộ,05/23/2023,05/23/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
TVB,VN000000TVB8,BBG009DCDKK8,Công ty Cổ phần Chứng khoán Trí Việt,05/23/2023,05/23/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
AMD,VN000000AMD3,BBG007GTX408,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,10/24/2022,10/24/2022,Tổ chức niêm yết chậm nộp BCTC soát xét bán niên năm 2022 quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
GAB,VN000000GAB9,BBG00PNKPT85,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,10/07/2022,10/07/2022,Tổ chức niêm yết chậm nộp BCTC soát xét bán niên năm 2022 quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
AMD,VN000000AMD3,BBG007GTX408,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,05/12/2023,05/15/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
GAB,VN000000GAB9,BBG00PNKPT85,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,05/12/2023,05/15/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
HBC,VN000000HBC3,BBG000QMWDZ0,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,05/12/2023,05/15/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
TTB,VN000000TTB2,BBG007YXYQQ1,Công ty Cổ phần Tập đoàn Tiến Bộ,05/12/2023,05/15/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
ABS,VN000000ABS4,BBG00R8768Y5,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,05/12/2023,05/12/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
AGM,VN000000AGM6,BBG003NWY9K8,Công ty Cổ phần Xuất Nhập Khẩu An Giang,05/12/2023,05/12/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
HPX,VN000000HPX9,BBG00LC37SN9,Công ty Cổ phần Đầu tư Hải Phát,05/12/2023,05/12/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
HVN,VN000000HVN8,BBG000FWLXH8,Tổng Công ty Hàng không Việt Nam - CTCP,05/12/2023,05/12/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
LDG,VN000000LDG2,BBG009RRQXY3,Công ty Cổ phần Đầu tư LDG,05/12/2023,05/12/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
TGG,VN000000TGG8,BBG00KXBGZ72,Công ty Cổ phần The Golden Group,05/12/2023,05/12/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
IBC,VN000000IBC1,BBG00F0Z7590,Công ty Cổ phần Đầu tư Apax Holdings,05/11/2023,05/11/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
TVB,VN000000TVB8,BBG009DCDKK8,Công ty Cổ phần Chứng khoán Trí Việt,05/11/2023,05/11/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
HBC,VN000000HBC3,BBG000QMWDZ0,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,04/17/2023,04/17/2023,Tổ chức niêm yết vi phạm chậm nộp báo cáo tài chính năm đã được kiểm toán trong 02 năm liên tiếp.,D,VN,2023-06-01 09:20:39
POM,VN000000POM8,BBG000QR9N83,Công ty Cổ phần Thép POMINA,04/17/2023,04/17/2023,Tổ chức niêm yết vi phạm chậm nộp báo cáo tài chính năm đã được kiểm toán trong 02 năm liên tiếp.,D,VN,2023-06-01 09:20:39
QBS,VN000000QBS0,BBG007H4BS94,Công ty Cổ phần Xuất Nhập khẩu Quảng Bình,04/23/2021,04/14/2023,"Lợi nhuận sau thuế của cổ đông Công ty mẹ là -138,7 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -220,2 tỷ đồng căn cứ báo cáo tài chính hợp nhất kiểm toán năm 2022.",D,VN,2023-06-01 09:20:39
HNG,VN000000HNG9,BBG009L960Q2,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,04/12/2023,04/12/2023,"Lợi nhuận sau thuế của cổ đông công ty mẹ năm 2021 là -1.119,43 tỷ đồng. Lợi nhuận sau thuế của cổ đông công ty mẹ năm 2022 là -3.576,45 tỷ đồng căn cứ Báo cáo tài chính hợp nhất kiểm toán năm 2021 và năm 2022.",D,VN,2023-06-01 09:20:39
NVT,VN000000NVT3,BBG000QTW822,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,04/12/2023,04/12/2023,"Lợi nhuận sau thuế của cổ đông công ty mẹ năm 2021 là -49,964 tỷ đồng. Lợi nhuận sau thuế của cổ đông công ty mẹ năm 2022 là -12,904 tỷ đồng căn cứ Báo cáo tài chính hợp nhất kiểm toán năm 2021 và năm 2022.",D,VN,2023-06-01 09:20:39
APC,VN000000APC8,BBG000Q921W1,Công ty Cổ phần Chiếu xạ An Phú,03/23/2023,03/23/2023,Lợi nhuận sau thuế năm 2022 là - 9 tỷ đồng và lợi nhuận sau thuế năm 2022 là -1.59 tỷ đồng căn cứ BCTC kiểm toán năm 2022 và năm 2021.,D,VN,2023-06-01 09:20:39
GAB,VN000000GAB9,BBG00PNKPT85,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,09/22/2022,01/05/2023,Cổ phiếu không có giao dịch trong vòng 9 tháng ,D,VN,2023-06-01 09:20:39
AMD,VN000000AMD3,BBG007GTX408,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,10/06/2022,10/06/2022,Tổ chức niêm yết chậm nộp BCTC soát xét bán niên năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
HVN,VN000000HVN8,BBG000FWLXH8,Tổng Công ty Hàng không Việt Nam - CTCP,11/03/2021,09/06/2022,"<p>Lợi nhuận sau thuế của cổ đông công ty mẹ là -5.167,6 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2022 là -28.904,2 tỷ đồng. Vốn chủ sở hữu -4.897,4 tỷ đồng căn cứ BCTC Hợp nhất soát xét bán niên năm 2022.</p>",D,VN,2023-06-01 09:20:39
UDC,VN000000UDC2,BBG000R4BZZ3,Công ty Cổ phần Xây dựng và Phát triển Đô thị tỉnh Bà Rịa - Vũng Tàu,04/27/2022,08/31/2022,"Lợi nhuận sau thuế của cổ đông công ty mẹ là -16,452 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2022 là -48,836 tỷ đồng căn cứ BCTC Hợp nhất soát xét bán niên năm 2022.",D,VN,2023-06-01 09:20:39
MCG,VN000000MCG2,BBG000PDD8G4,Công ty Cổ phần Năng lượng và Bất động sản MCG,08/31/2022,08/30/2022,"Lợi nhuận sau thuế của cổ đông công ty mẹ 6 tháng năm 2022 là 2,46 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2022 là -372,34 tỷ đồng căn cứ BCTC Hợp nhất soát xét bán niên năm 2022.",D,VN,2023-06-01 09:20:39
PMG,VN000000PMG4,BBG00JN3TXJ2,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,04/18/2022,08/30/2022,"Theo BCTC soát xét bán niên năm 2022, Lợi nhuận sau thuế của cổ đông công ty mẹ là 9,415 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2022 là -95,939 tỷ đồng căn cứ BCTC Hợp nhất soát xét bán niên năm 2022.",D,VN,2023-06-01 09:20:39
SII,VN000000SII2,BBG003BBYCH4,Công ty Cổ phần Hạ tầng nước Sài Gòn,04/21/2022,08/30/2022,"Lợi nhuận sau thuế của cổ đông công ty mẹ 6 tháng năm 2022 là -46,91 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2022 là 91,86 tỷ đồng căn cứ BCTC Hợp nhất soát xét bán niên năm 2022.",D,VN,2023-06-01 09:20:39
HOT,VN000000HOT0,BBG001WV7WK3,Công ty Cổ phần Du lịch Dịch vụ Hội An,03/28/2022,08/17/2022,"Lợi nhuận sau thuế của cổ đông công ty mẹ là -11,697 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2022 là -57,124 tỷ đồng căn cứ BCTC Hợp nhất soát xét bán niên năm 2022.",D,VN,2023-06-01 09:20:39
HU3,VN000000HU35,BBG001KKX7N3,Công ty Cổ phần Đầu tư và Xây dựng HUD3,04/20/2022,04/20/2022,Tổ chức niêm yết có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm đã được kiểm toán trong 2 năm liên tiếp (năm 2020 & năm 2021),D,VN,2023-06-01 09:20:39
DLG,VN000000DLG2,BBG000R1SL00,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,04/23/2021,10/01/2021,"Lợi nhuận sau thuế của cổ đông công ty mẹ 6 tháng 2021 là 24,69 tỷ đồng và LNST chưa phân phối tại ngày 30/06/2021 là -842,34 tỷ đồng. Tuy nhiên, vấn đề cần nhấn mạnh của đơn vi kiểm toán liên quan đến việc DLG đã cho một số tổ chức, cá nhân vay không có tài sản đảm bảo và khả năng hoạt động kinh doanh liên tục tồn tại từ năm 2019 đến nay vẫn chưa giải quyết xong.",D,VN,2023-06-01 09:20:39
TTF,VN000000TTF3,BBG000TFT0R3,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,04/25/2019,09/14/2021,"Lợi nhuận sau thuế của cổ đông của Công ty mẹ trên BCTC hợp nhất là 901 triệu đồng, lỗ lũy kế tại ngày 30/06/2021 là -3.042 tỷ đồng, vốn chủ sở hữu tại ngày 30/06/2021 là -553 tỷ đồng. Ngoài ra, kiểm toán viên cũng đưa ra ý kiến nhấn mạnh về khả năng hoạt động liên tục của Nhóm Công ty.",D,VN,2023-06-01 09:20:39
TTF,VN000000TTF3,BBG000TFT0R3,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,04/25/2019,09/14/2021,"Lợi nhuận sau thuế chưa phân phối năm 2017 là -1406,8 tỷ đồng và Lợi nhuận sau thuế của cổ đông công ty mẹ năm 2018 là -715,1 tỷ đồng căn cứ Báo cáo tài chính Hợp nhất được kiểm toán năm 2018.",D,VN,2023-06-01 09:20:39
POM,VN000000POM8,BBG000QR9N83,Công ty Cổ phần Thép POMINA,05/12/2023,05/12/2023,"Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -444,68 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022.",C,VN,2023-06-01 09:20:39
AMD,VN000000AMD3,BBG007GTX408,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,04/26/2023,04/26/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 15 ngày so với thời hạn quy định.,C,VN,2023-06-01 09:20:39
GAB,VN000000GAB9,BBG00PNKPT85,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,04/26/2023,04/26/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 15 ngày so với thời hạn quy định.,C,VN,2023-06-01 09:20:39
TGG,VN000000TGG8,BBG00KXBGZ72,Công ty Cổ phần The Golden Group,04/26/2023,04/26/2023,Công ty chậm nộp báo cáo tài chính năm 2022 đã được kiểm toán quá 15 ngày so với thời hạn quy định.,C,VN,2023-06-01 09:20:39
ABS,VN000000ABS4,BBG00R8768Y5,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,04/25/2023,04/25/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 15 ngày so với thời hạn quy định.,C,VN,2023-06-01 09:20:39
AGM,VN000000AGM6,BBG003NWY9K8,Công ty Cổ phần Xuất Nhập Khẩu An Giang,04/25/2023,04/25/2023,Công ty chậm nộp báo cáo tài chính năm 2022 đã được kiểm toán quá 15 ngày so với thời hạn quy định.,C,VN,2023-06-01 09:20:39
HBC,VN000000HBC3,BBG000QMWDZ0,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,04/25/2023,04/25/2023,Công ty chậm nộp báo cáo tài chính năm 2022 đã được kiểm toán quá 15 ngày so với thời hạn quy định.,C,VN,2023-06-01 09:20:39
