ticker,isin_code,figi_code,company_name,notification_date,effective_date,reason,alert_code,alert_language,etldatetime
HPX,VN000000HPX9,BBG00LC37SN9,Công ty Cổ phần Đầu tư Hải Phát,04/25/2023,04/25/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 15 ngày so với thời hạn quy định.,C,VN,2023-06-01 09:20:39
HVN,VN000000HVN8,BBG000FWLXH8,Tổng Công ty Hàng không Việt Nam - CTCP,04/25/2023,04/25/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 15 ngày so với thời hạn quy định.,C,VN,2023-06-01 09:20:39
LDG,VN000000LDG2,BBG009RRQXY3,Công ty Cổ phần Đầu tư LDG,04/25/2023,04/25/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 15 ngày so với thời hạn quy định.,C,VN,2023-06-01 09:20:39
NVL,VN000000NVL0,BBG00FM8NC93,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,04/25/2023,04/25/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 15 ngày so với thời hạn quy định.,C,VN,2023-06-01 09:20:39
POM,VN000000POM8,BBG000QR9N83,Công ty Cổ phần Thép POMINA,04/25/2023,04/25/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 15 ngày so với thời hạn quy định.,C,VN,2023-06-01 09:20:39
TTB,VN000000TTB2,BBG007YXYQQ1,Công ty Cổ phần Tập đoàn Tiến Bộ,04/25/2023,04/25/2023,Công ty chậm nộp báo cáo tài chính năm 2022 đã được kiểm toán quá 15 ngày so với thời hạn quy định.,C,VN,2023-06-01 09:20:39
EVG,VN000000EVG9,BBG00GTSZQV1,Công ty Cổ phần Tập đoàn Everland,04/24/2023,04/24/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính hợp nhất kiểm toán năm 2022.,C,VN,2023-06-01 09:20:39
ITA,VN000000ITA7,BBG000QBN527,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo,04/21/2023,04/21/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2022 đã được kiểm toán của tổ chức niêm yết.,C,VN,2023-06-01 09:20:39
PLP,VN000000PLP7,BBG00H44X8M1,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,04/17/2023,04/17/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2022 đã được kiểm toán của tổ chức niêm yết.,C,VN,2023-06-01 09:20:39
PTC,VN000000PTC8,BBG000P5S9B8,Công ty Cổ phần Đầu tư iCapital,04/14/2023,04/14/2023,"Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -23,59 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022.",C,VN,2023-06-01 09:20:39
DLG,VN000000DLG2,BBG000R1SL00,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,04/18/2022,04/13/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2022 đã được kiểm toán của tổ chức niêm yết.,C,VN,2023-06-01 09:20:39
TDH,VN000000TDH3,BBG000QGMH85,Công ty Cổ phần Phát triển Nhà Thủ Đức,04/13/2023,04/13/2023,"Lợi nhuận sau thuế của cổ đông công ty mẹ năm 2022 là 4,93 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -688,23 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022.",C,VN,2023-06-01 09:20:39
LGL,VN000000LGL5,BBG000PLL5F4,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,04/12/2023,04/12/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính hợp nhất năm 2022 đã được kiểm toán của tổ chức niêm yết.,C,VN,2023-06-01 09:20:39
SJF,VN000000SJF6,BBG00H0JKDH1,Công ty Cổ phần Đầu tư Sao Thái Dương,04/12/2023,04/12/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính hợp nhất năm 2022 đã được kiểm toán của tổ chức niêm yết.,C,VN,2023-06-01 09:20:39
TNA,VN000000TNA7,BBG000CXD179,Công ty Cổ phần Thương mại Xuất nhập khẩu Thiên Nam,04/10/2023,04/10/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2022 đã được kiểm toán của tổ chức niêm yết.,C,VN,2023-06-01 09:20:39
AST,VN000000AST6,BBG00JM8H178,Công ty Cổ phần Dịch vụ Hàng không Taseco,04/07/2023,04/07/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính hợp nhất năm 2022 đã được kiểm toán của tổ chức niêm yết.,C,VN,2023-06-01 09:20:39
JVC,VN000000JVC7,BBG001QQZ3M2,Công ty Cổ phần Đầu tư và Phát triển Y tế Việt Nhật,04/07/2023,04/07/2023,"Lợi nhuận sau thuế của cổ đông Công ty mẹ năm 2022 là 21,76 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -1.099,98 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022.",C,VN,2023-06-01 09:20:39
VNL,VN000000VNL0,BBG000NX0H67,Công ty Cổ phần Logistics Vinalink,04/07/2023,04/07/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2022 đã được kiểm toán của tổ chức niêm yết.,C,VN,2023-06-01 09:20:39
FDC,VN000000FDC3,BBG000Q54S85,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,04/05/2023,04/05/2023,"Lợi nhuận sau thuế chưa phân phối tại ngày 31/12/2022 trên BCTC kiểm toán năm 2022 là -192,95 tỷ đồng.",C,VN,2023-06-01 09:20:39
HAG,VN000000HAG6,BBG000GCXX42,Công ty Cổ phần Hoàng Anh Gia Lai,10/11/2022,04/05/2023,"Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -3.341,01 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022.",C,VN,2023-06-01 09:20:39
OGC,VN000000OGC8,BBG000QSB710,Công ty Cổ phần Tập đoàn Đại Dương,06/28/2022,04/05/2023,"Lợi nhuận sau thuế của cổ đông Công ty mẹ năm 2022 là 40,43 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -2.690,70 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022.",C,VN,2023-06-01 09:20:39
RDP,VN000000RDP0,BBG000PBYT51,Công ty Cổ phần Rạng Đông Holding,05/27/2021,04/05/2023,"Lợi nhuận sau thuế của cổ đông Công ty mẹ là 7,96 tỷ đồng. Lợi nhuận sau thuế chưa phân phối tại ngày 30/06/2022 là -70,94 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022.",C,VN,2023-06-01 09:20:39
TNI,VN000000TNI0,BBG00GBHZSF8,Công ty Cổ phần Tập đoàn Thành Nam,02/21/2022,04/05/2023,"<p>Lợi nhuận sau thuế của cổ đông công ty mẹ là 2,8 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -7,58 tỷ đồng căn cứ Báo cáo tài chính hợp nhất kiểm toán năm 2022.</p>",C,VN,2023-06-01 09:20:39
TTF,VN000000TTF3,BBG000TFT0R3,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,04/21/2022,04/04/2023,"Lợi nhuận sau thuế chưa phân phối tại ngày 31/12/2022 là -3.070,2 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022.",C,VN,2023-06-01 09:20:39
CIG,VN000000CIG0,BBG001VHQTV9,Công ty Cổ phần COMA18,04/18/2022,03/31/2023,"Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -294,94 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022.",C,VN,2023-06-01 09:20:39
PIT,VN000000PIT5,BBG000PMW935,Công ty Cổ phần Xuất nhập khẩu Petrolimex,08/24/2020,03/31/2023,"Lợi nhuận sau thuế công ty mẹ là 3,17 tỷ đồng, lợi nhuận sau thuế chưa phân phối tính đến ngày 31/12/2022 là -21,2 tỷ đồng căn cứ BCTC hợp nhất kiểm toán năm 2022.",C,VN,2023-06-01 09:20:39
PTL,VN000000PTL9,BBG001645YS2,Công ty Cổ phần Victory Capital,07/12/2022,03/30/2023,"Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2022 là – 430,69 tỷ đồng và có ý kiến kiểm toán chấp nhận toàn phần căn cứ Báo cáo tài chính hợp nhất soát xét bán niên năm 2022.",C,VN,2023-06-01 09:20:39
PPC,VN000000PPC6,BBG000QQYWZ7,Công ty Cổ phần Nhiệt điện Phả Lại,03/29/2023,03/29/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2022 đã được kiểm toán của tổ chức niêm yết.,C,VN,2023-06-01 09:20:39
TCR,VN000000TCR4,BBG000QN5CR9,Công ty Cổ phần Công nghiệp Gốm sứ TAICERA,03/26/2020,03/23/2023,"Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -147,69 tỷ đồng và có ý kiến kiểm toán chấp nhận toàn phần căn cứ BCTC HN kiểm toán năm 2022.",C,VN,2023-06-01 09:20:39
DXV,VN000000DXV6,BBG000BM0Y49,Công ty Cổ phần Vicem Vật liệu Xây dựng Đà Nẵng,03/25/2020,03/20/2023,"Lợi nhuận sau thuế thu nhập doanh nghiệp là 195 triệu đồng và lợi nhuận sau thuế chưa phân phối là -5,83 tỷ đồng căn cứ BCTC kiểm toán năm 2022.",C,VN,2023-06-01 09:20:39
VDS,VN000000VDS6,BBG000VVXNW4,Công ty Cổ phần Chứng khoán Rồng Việt,03/16/2023,03/16/2023,"Lợi nhuận sau thuế chưa phân phối tại ngày 31/12/2022 trên BCTC Hợp nhất kiểm toán năm 2022 là -50,63 tỷ đồng.",C,VN,2023-06-01 09:20:39
ITA,VN000000ITA7,BBG000QBN527,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo,09/06/2022,03/01/2023,Công ty chưa khắc phục hết các nguyên nhân đưa vào cảnh báo và tiếp tục vi phạm công bố thông tin trong 6 tháng kể từ ngày ra quyết định bị cảnh báo.,C,VN,2023-06-01 09:20:39
VCA,VN000000VCA6,BBG000TRCXM8,Công ty Cổ phần Thép VICASA - VNSTEEL,02/22/2023,02/22/2023,"Lợi nhuận sau thuế năm 2022 là -5,89 tỷ đồng. Lợi nhuận sau thuế chưa phân phối tính đến ngày 31/12/2022 là -2,41 tỷ đồng căn cứ BCTC kiểm toán năm 2022.",C,VN,2023-06-01 09:20:39
HNG,VN000000HNG9,BBG009L960Q2,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,09/07/2020,09/05/2022,"Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2022 là -4.096,97 tỷ đồng và có ý kiến kiểm toán là chấp nhận toàn phần căn cứ BCTC Hợp nhất soát xét bán niên năm 2022.",C,VN,2023-06-01 09:20:39
NVT,VN000000NVT3,BBG000QTW822,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,09/24/2018,08/31/2022,"<p>Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2022 là -710,458 tỷ đồng căn cứ BCTC Hợp nhất soát xét bán niên năm 2022.</p>",C,VN,2023-06-01 09:20:39
SCD,VN000000SCD6,BBG000QMWS69,Công ty Cổ phần Nước giải khát Chương Dương,04/21/2022,08/17/2022,"Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2022 là -46,48 tỷ đồng và có ý kiến kiểm toán là chấp nhận toàn phần căn cứ BCTC soát xét bán niên năm 2022.",C,VN,2023-06-01 09:20:39
PMG,VN000000PMG4,BBG00JN3TXJ2,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,04/23/2021,10/20/2021,"Lợi nhuận sau thuế của cổ đông công ty mẹ 6 tháng 2021 là -34,862 tỷ đồng và Lợi nhuận sau thuế chưa phân phối tại ngày 30/06/2021 là -78,535 tỷ đồng.",C,VN,2023-06-01 09:20:39
TDH,VN000000TDH3,BBG000QGMH85,Công ty Cổ phần Phát triển Nhà Thủ Đức,05/28/2021,09/14/2021,"<p>Lợi nhuận sau thuế của công ty mẹ 06 tháng đầu năm 2021 của NVT là 173,725 tỷ đồng và lợi nhuận sau thuế chưa phân phối tính đến ngày 30/6/2021 là 15,628 tỷ đồng. Tuy nhiên, kiểm toán có ý kiến ngoại trừ liên quan đến các khoản phải nộp và khoản phải thu đối với các quyết định Cục thuế TP.HCM.</p>",C,VN,2023-06-01 09:20:39
HAS,VN000000HAS1,BBG000M992T0,Công ty Cổ phần HACISCO,10/04/2013,08/23/2021,"<p>Lợi nhuận sau thuế của cổ đông công ty mẹ 6 tháng đầu năm 2021 là 1,75 tỷ đồng và Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2021 là 2,02 tỷ đồng và không còn ý kiến ngoại trừ trên BCTC soát xét bán niên năm 2021.</p>",C,VN,2023-06-01 09:20:39
HAS,VN000000HAS1,BBG000M992T0,Công ty Cổ phần HACISCO,10/04/2013,08/23/2021,"<p>Lợi nhuận sau thuế của cổ đông Công ty mẹ 6 tháng đầu năm 2019 của công ty là 1,47 tỷ đồng và Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2019 là 2,47 tỷ đồng và vẫn còn ý kiến kiểm toán ngoại trừ liên quan đến các khoản công nợ phải thu 14,6 tỷ và công nợ phải trả 12,88 tỷ đồng tại thời điểm 30/06/2019 chưa có đối chiếu nên công ty kiểm toán không thể thu thập được đầy đủ các tài liệu cần thiết để có thể đưa ra kết luận đối với số liệu này.</p>",C,VN,2023-06-01 09:20:39
HVN,VN000000HVN8,BBG000FWLXH8,Tổng Công ty Hàng không Việt Nam - CTCP,04/15/2021,04/15/2021,Lợi nhuận sau thuế thu nhập doanh nghiệp của cổ đông của Tổng Công ty năm 2020 là -10.927 tỷ đồng. Lợi nhuận sau thuế chưa phân phối tại ngày 31/12/2020 là -9.328 tỷ đồng.,C,VN,2023-06-01 09:20:39
MHC,VN000000MHC0,BBG000BX72W7,Công ty Cổ phần MHC,04/06/2021,04/06/2021,Công ty có Lợi nhuận sau thuế của cổ đông công ty mẹ năm 2020 là -1.169 tỷ đồng căn cứ trên BCTC HN kiểm toán năm 2020.,C,VN,2023-06-01 09:20:39
TDH,VN000000TDH3,BBG000QGMH85,Công ty Cổ phần Phát triển Nhà Thủ Đức,04/06/2021,04/06/2021,"Thông tin về việc truy thu thuế ảnh hưởng lớn đến hoạt động sản xuất kinh doanh và tình hình tài chính của Công ty, SGDCK TP.HCM xét thấy cần thiết để bảo vệ quyền lợi của các nhà đầu tư sau khi được UBCKNN chấp thuận.",C,VN,2023-06-01 09:20:39
HID,VN000000HID6,BBG00D621W35,Công ty Cổ phần Halcom Việt Nam,08/29/2018,08/29/2018,Công ty vi phạm quy định công bố thông tin từ 4 lần trong 1 năm.,C,VN,2023-06-01 09:20:39
AMD,VN000000AMD3,BBG007GTX408,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,03/02/2023,03/01/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính soát xét bán niên năm 2022 quá 6 tháng so với thời hạn quy định.,S2,VN,2023-06-01 09:20:39
GAB,VN000000GAB9,BBG00PNKPT85,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,02/17/2023,02/27/2023,Tổ chức niêm yết chậm nộp BCTC soát xét bán niên năm 2022 quá 6 tháng so với thời hạn quy định.,S2,VN,2023-06-01 09:20:39
